epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,12516.6,0.2652,0.19645,0.88124,0.99749,0.99832,0.99413,0.97888,0.19892,0.12422,0.78028,0.0036145,0.0036145,0.0036145
131,12613.5,0.26276,0.19835,0.87716,0.99749,0.99832,0.99391,0.97747,0.19684,0.12832,0.77995,0.003565,0.003565,0.003565
132,12711.6,0.26159,0.19052,0.87937,0.99749,0.99832,0.99399,0.97784,0.19512,0.12695,0.77884,0.0035155,0.0035155,0.0035155
133,12808,0.26611,0.19499,0.88228,0.99756,0.99832,0.99394,0.97777,0.19383,0.1246,0.77842,0.003466,0.003466,0.003466
134,12904.6,0.25868,0.19111,0.87776,0.99757,0.99832,0.99389,0.97784,0.19301,0.12516,0.77667,0.0034165,0.0034165,0.0034165
135,13000.9,0.25964,0.1895,0.87913,0.99751,0.99832,0.99409,0.97827,0.19268,0.12196,0.7771,0.003367,0.003367,0.003367
136,13098.2,0.2573,0.19367,0.87552,0.9974,0.99832,0.99383,0.97754,0.19253,0.12482,0.77693,0.0033175,0.0033175,0.0033175
137,13194.9,0.26166,0.18704,0.87891,0.99727,0.99832,0.99404,0.97817,0.19194,0.12465,0.77735,0.003268,0.003268,0.003268
138,13292.2,0.25998,0.18583,0.88189,0.99711,0.99832,0.99381,0.97787,0.19209,0.12708,0.77591,0.0032185,0.0032185,0.0032185
139,13388.5,0.25171,0.18902,0.87394,0.9972,0.99832,0.99388,0.97832,0.19385,0.1296,0.77906,0.003169,0.003169,0.003169
140,13485.3,0.2524,0.18529,0.8734,0.9973,0.99832,0.99411,0.97947,0.19251,0.12567,0.77753,0.0031195,0.0031195,0.0031195
141,13581.4,0.25653,0.18655,0.87749,0.99733,0.99832,0.99416,0.97982,0.19237,0.12388,0.77767,0.00307,0.00307,0.00307
142,13678.4,0.25088,0.18291,0.87181,0.9973,0.99832,0.99391,0.97941,0.19003,0.12307,0.77647,0.0030205,0.0030205,0.0030205
143,13775.1,0.24687,0.18164,0.86951,0.99737,0.99832,0.99409,0.97949,0.1889,0.11995,0.7769,0.002971,0.002971,0.002971
144,13871.5,0.25845,0.18437,0.87888,0.99737,0.99832,0.99409,0.97951,0.18879,0.11877,0.77742,0.0029215,0.0029215,0.0029215
145,13968.5,0.2504,0.18434,0.87274,0.99728,0.99832,0.99416,0.97975,0.18721,0.12003,0.7758,0.002872,0.002872,0.002872
146,14064.8,0.24884,0.18583,0.87308,0.99703,0.99832,0.99433,0.97983,0.18661,0.1194,0.77469,0.0028225,0.0028225,0.0028225
147,14161.6,0.25174,0.18525,0.87392,0.99698,0.99832,0.99451,0.9801,0.18729,0.12161,0.77394,0.002773,0.002773,0.002773
148,14258.2,0.24639,0.18332,0.87742,0.99695,0.99832,0.99461,0.98057,0.18641,0.12263,0.77379,0.0027235,0.0027235,0.0027235
149,14355.2,0.24612,0.18163,0.87297,0.9969,0.99832,0.99445,0.98027,0.1862,0.12299,0.77352,0.002674,0.002674,0.002674
150,14452,0.24596,0.18158,0.87376,0.99686,0.99832,0.9944,0.97992,0.18481,0.12175,0.77118,0.0026245,0.0026245,0.0026245
151,14548.6,0.24387,0.17896,0.87148,0.9971,0.99832,0.99448,0.98091,0.18484,0.12054,0.77126,0.002575,0.002575,0.002575
152,14645.7,0.24198,0.18426,0.87096,0.9972,0.99832,0.9946,0.98155,0.184,0.11945,0.77157,0.0025255,0.0025255,0.0025255
153,14742,0.24169,0.17541,0.87188,0.99711,0.99832,0.99453,0.98105,0.18305,0.11865,0.77148,0.002476,0.002476,0.002476
154,14839.1,0.24134,0.17704,0.87203,0.99698,0.99832,0.99466,0.98081,0.18103,0.11786,0.76986,0.0024265,0.0024265,0.0024265
155,14935.4,0.23987,0.17517,0.87447,0.99697,0.99832,0.99446,0.98115,0.17963,0.11976,0.76922,0.002377,0.002377,0.002377
156,15032.6,0.24378,0.17505,0.87567,0.99711,0.99832,0.99416,0.98061,0.17992,0.11875,0.77081,0.0023275,0.0023275,0.0023275
157,15129.2,0.24299,0.17764,0.8764,0.99709,0.99832,0.99423,0.98138,0.18054,0.11981,0.77065,0.002278,0.002278,0.002278
158,15226.1,0.23883,0.17468,0.86979,0.99707,0.99832,0.99428,0.98104,0.18014,0.12112,0.77062,0.0022285,0.0022285,0.0022285
159,15323.1,0.23895,0.17581,0.87261,0.997,0.99832,0.99446,0.98054,0.17956,0.12267,0.77027,0.002179,0.002179,0.002179
160,15419.7,0.2387,0.1767,0.87139,0.99705,0.99832,0.9945,0.98037,0.17947,0.12181,0.76862,0.0021295,0.0021295,0.0021295
161,15517.2,0.23271,0.1704,0.86563,0.99707,0.99832,0.99443,0.98042,0.17919,0.12114,0.76834,0.00208,0.00208,0.00208
